 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Welcome to HYDRUS-1D                                                  *
 *                                                                      *
 *                                                                      *
 ************************************************************************


 Program parameters
 ==================
 Max. iterations.....................(MIT)...............  0
 No. of observations.................(NOBb)............. 366


 Soil hydraulic properties
 =========================
 Residual moisture content...........(WCR)............     0.032
 Saturated moisture content..........(WCS)............     0.390
 First coefficient...................(ALPHA)..........     0.033
 Second coefficient..................(N)..............     1.450
 Saturated conductivity..............(CONDS).......... .9871E+02
 Pore connectivity factor............(L)..............     0.500


 Observed Quantity 
 ==================
    Obs     Time    Quantity     Type  Position   Weight
     1     91.000      0.265       2     0      1.000000
     2     91.000    -17.989       0     2      1.000000
     3     92.000      0.264       2     0      1.000000
     4     92.000    -18.049       0     2      1.000000
     5     93.000      0.261       2     0      1.000000
     6     93.000    -18.075       0     2      1.000000
     7     94.000      0.259       2     0      1.000000
     8     94.000    -18.086       0     2      1.000000
     9     95.000      0.275       2     0      1.000000
    10     95.000    -18.088       0     2      1.000000
    11     96.000      0.284       2     0      1.000000
    12     96.000    -18.087       0     2      1.000000
    13     97.000      0.280       2     0      1.000000
    14     97.000    -18.095       0     2      1.000000
    15     98.000      0.292       2     0      1.000000
    16     98.000    -18.156       0     2      1.000000
    17     99.000      0.293       2     0      1.000000
    18     99.000    -18.388       0     2      1.000000
    19    100.000      0.293       2     0      1.000000
    20    100.000    -18.751       0     2      1.000000
    21    101.000      0.290       2     0      1.000000
    22    101.000    -19.244       0     2      1.000000
    23    102.000      0.284       2     0      1.000000
    24    102.000    -19.708       0     2      1.000000
    25    103.000      0.281       2     0      1.000000
    26    103.000    -20.098       0     2      1.000000
    27    104.000      0.286       2     0      1.000000
    28    104.000    -20.414       0     2      1.000000
    29    105.000      0.282       2     0      1.000000
    30    105.000    -20.703       0     2      1.000000
    31    106.000      0.282       2     0      1.000000
    32    106.000    -20.945       0     2      1.000000
    33    107.000      0.276       2     0      1.000000
    34    107.000    -21.171       0     2      1.000000
    35    108.000      0.279       2     0      1.000000
    36    108.000    -21.407       0     2      1.000000
    37    109.000      0.279       2     0      1.000000
    38    109.000    -21.557       0     2      1.000000
    39    110.000      0.275       2     0      1.000000
    40    110.000    -21.731       0     2      1.000000
    41    111.000      0.272       2     0      1.000000
    42    111.000    -21.844       0     2      1.000000
    43    112.000      0.268       2     0      1.000000
    44    112.000    -21.934       0     2      1.000000
    45    113.000      0.264       2     0      1.000000
    46    113.000    -22.015       0     2      1.000000
    47    114.000      0.264       2     0      1.000000
    48    114.000    -22.045       0     2      1.000000
    49    115.000      0.259       2     0      1.000000
    50    115.000    -22.064       0     2      1.000000
    51    116.000      0.258       2     0      1.000000
    52    116.000    -22.035       0     2      1.000000
    53    117.000      0.260       2     0      1.000000
    54    117.000    -22.050       0     2      1.000000
    55    118.000      0.258       2     0      1.000000
    56    118.000    -22.046       0     2      1.000000
    57    119.000      0.263       2     0      1.000000
    58    119.000    -22.054       0     2      1.000000
    59    120.000      0.261       2     0      1.000000
    60    120.000    -22.056       0     2      1.000000
    61    121.000      0.258       2     0      1.000000
    62    121.000    -22.068       0     2      1.000000
    63    122.000      0.258       2     0      1.000000
    64    122.000    -22.055       0     2      1.000000
    65    123.000      0.271       2     0      1.000000
    66    123.000    -22.060       0     2      1.000000
    67    124.000      0.270       2     0      1.000000
    68    124.000    -22.043       0     2      1.000000
    69    125.000      0.266       2     0      1.000000
    70    125.000    -22.041       0     2      1.000000
    71    126.000      0.263       2     0      1.000000
    72    126.000    -22.037       0     2      1.000000
    73    127.000      0.268       2     0      1.000000
    74    127.000    -22.044       0     2      1.000000
    75    128.000      0.269       2     0      1.000000
    76    128.000    -22.058       0     2      1.000000
    77    129.000      0.271       2     0      1.000000
    78    129.000    -22.063       0     2      1.000000
    79    130.000      0.273       2     0      1.000000
    80    130.000    -22.044       0     2      1.000000
    81    131.000      0.279       2     0      1.000000
    82    131.000    -22.048       0     2      1.000000
    83    132.000      0.284       2     0      1.000000
    84    132.000    -22.070       0     2      1.000000
    85    133.000      0.291       2     0      1.000000
    86    133.000    -22.048       0     2      1.000000
    87    134.000      0.292       2     0      1.000000
    88    134.000    -22.234       0     2      1.000000
    89    135.000      0.290       2     0      1.000000
    90    135.000    -22.657       0     2      1.000000
    91    136.000      0.301       2     0      1.000000
    92    136.000    -23.133       0     2      1.000000
    93    137.000      0.312       2     0      1.000000
    94    137.000    -23.795       0     2      1.000000
    95    138.000      0.303       2     0      1.000000
    96    138.000    -24.923       0     2      1.000000
    97    139.000      0.293       2     0      1.000000
    98    139.000    -25.949       0     2      1.000000
    99    140.000      0.283       2     0      1.000000
   100    140.000    -26.721       0     2      1.000000
   101    141.000      0.274       2     0      1.000000
   102    141.000    -27.237       0     2      1.000000
   103    142.000      0.268       2     0      1.000000
   104    142.000    -27.572       0     2      1.000000
   105    143.000      0.264       2     0      1.000000
   106    143.000    -27.820       0     2      1.000000
   107    144.000      0.261       2     0      1.000000
   108    144.000    -27.964       0     2      1.000000
   109    145.000      0.260       2     0      1.000000
   110    145.000    -28.042       0     2      1.000000
   111    146.000      0.266       2     0      1.000000
   112    146.000    -28.060       0     2      1.000000
   113    147.000      0.306       2     0      1.000000
   114    147.000    -28.061       0     2      1.000000
   115    148.000      0.317       2     0      1.000000
   116    148.000    -28.427       0     2      1.000000
   117    149.000      0.320       2     0      1.000000
   118    149.000    -30.055       0     2      1.000000
   119    150.000      0.307       2     0      1.000000
   120    150.000    -32.061       0     2      1.000000
   121    151.000      0.296       2     0      1.000000
   122    151.000    -33.507       0     2      1.000000
   123    152.000      0.290       2     0      1.000000
   124    152.000    -34.409       0     2      1.000000
   125    153.000      0.280       2     0      1.000000
   126    153.000    -34.994       0     2      1.000000
   127    154.000      0.275       2     0      1.000000
   128    154.000    -35.388       0     2      1.000000
   129    155.000      0.279       2     0      1.000000
   130    155.000    -35.718       0     2      1.000000
   131    156.000      0.274       2     0      1.000000
   132    156.000    -35.891       0     2      1.000000
   133    157.000      0.271       2     0      1.000000
   134    157.000    -36.021       0     2      1.000000
   135    158.000      0.263       2     0      1.000000
   136    158.000    -36.136       0     2      1.000000
   137    159.000      0.258       2     0      1.000000
   138    159.000    -36.225       0     2      1.000000
   139    160.000      0.256       2     0      1.000000
   140    160.000    -36.245       0     2      1.000000
   141    161.000      0.253       2     0      1.000000
   142    161.000    -36.264       0     2      1.000000
   143    162.000      0.254       2     0      1.000000
   144    162.000    -36.277       0     2      1.000000
   145    163.000      0.251       2     0      1.000000
   146    163.000    -36.264       0     2      1.000000
   147    164.000      0.249       2     0      1.000000
   148    164.000    -36.259       0     2      1.000000
   149    165.000      0.248       2     0      1.000000
   150    165.000    -36.267       0     2      1.000000
   151    166.000      0.248       2     0      1.000000
   152    166.000    -36.259       0     2      1.000000
   153    167.000      0.245       2     0      1.000000
   154    167.000    -36.266       0     2      1.000000
   155    168.000      0.243       2     0      1.000000
   156    168.000    -36.271       0     2      1.000000
   157    169.000      0.245       2     0      1.000000
   158    169.000    -36.279       0     2      1.000000
   159    170.000      0.243       2     0      1.000000
   160    170.000    -36.268       0     2      1.000000
   161    171.000      0.249       2     0      1.000000
   162    171.000    -36.265       0     2      1.000000
   163    172.000      0.245       2     0      1.000000
   164    172.000    -36.258       0     2      1.000000
   165    173.000      0.243       2     0      1.000000
   166    173.000    -36.268       0     2      1.000000
   167    174.000      0.242       2     0      1.000000
   168    174.000    -36.262       0     2      1.000000
   169    175.000      0.241       2     0      1.000000
   170    175.000    -36.277       0     2      1.000000
   171    176.000      0.242       2     0      1.000000
   172    176.000    -36.275       0     2      1.000000
   173    177.000      0.237       2     0      1.000000
   174    177.000    -36.268       0     2      1.000000
   175    178.000      0.235       2     0      1.000000
   176    178.000    -36.278       0     2      1.000000
   177    179.000      0.237       2     0      1.000000
   178    179.000    -36.259       0     2      1.000000
   179    180.000      0.253       2     0      1.000000
   180    180.000    -36.262       0     2      1.000000
   181    181.000      0.258       2     0      1.000000
   182    181.000    -36.264       0     2      1.000000
   183    182.000      0.254       2     0      1.000000
   184    182.000    -36.264       0     2      1.000000
   185    183.000      0.260       2     0      1.000000
   186    183.000    -36.247       0     2      1.000000
   187    184.000      0.254       2     0      1.000000
   188    184.000    -36.272       0     2      1.000000
   189    185.000      0.254       2     0      1.000000
   190    185.000    -36.289       0     2      1.000000
   191    186.000      0.250       2     0      1.000000
   192    186.000    -36.265       0     2      1.000000
   193    187.000      0.245       2     0      1.000000
   194    187.000    -36.268       0     2      1.000000
   195    188.000      0.246       2     0      1.000000
   196    188.000    -36.272       0     2      1.000000
   197    189.000      0.264       2     0      1.000000
   198    189.000    -36.277       0     2      1.000000
   199    190.000      0.268       2     0      1.000000
   200    190.000    -36.271       0     2      1.000000
   201    191.000      0.272       2     0      1.000000
   202    191.000    -36.265       0     2      1.000000
   203    192.000      0.275       2     0      1.000000
   204    192.000    -36.272       0     2      1.000000
   205    193.000      0.273       2     0      1.000000
   206    193.000    -36.243       0     2      1.000000
   207    194.000      0.270       2     0      1.000000
   208    194.000    -36.277       0     2      1.000000
   209    195.000      0.273       2     0      1.000000
   210    195.000    -36.275       0     2      1.000000
   211    196.000      0.269       2     0      1.000000
   212    196.000    -36.290       0     2      1.000000
   213    197.000      0.265       2     0      1.000000
   214    197.000    -36.264       0     2      1.000000
   215    198.000      0.265       2     0      1.000000
   216    198.000    -36.287       0     2      1.000000
   217    199.000      0.260       2     0      1.000000
   218    199.000    -36.272       0     2      1.000000
   219    200.000      0.256       2     0      1.000000
   220    200.000    -36.270       0     2      1.000000
   221    201.000      0.256       2     0      1.000000
   222    201.000    -36.274       0     2      1.000000
   223    202.000      0.265       2     0      1.000000
   224    202.000    -36.250       0     2      1.000000
   225    203.000      0.272       2     0      1.000000
   226    203.000    -36.257       0     2      1.000000
   227    204.000      0.272       2     0      1.000000
   228    204.000    -36.254       0     2      1.000000
   229    205.000      0.268       2     0      1.000000
   230    205.000    -36.276       0     2      1.000000
   231    206.000      0.261       2     0      1.000000
   232    206.000    -36.256       0     2      1.000000
   233    207.000      0.259       2     0      1.000000
