 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   5.11.2022    Time:   9:39:43
 Units: L = cm   , T = days , M = mmol 



                               Node( 11)                      Node( 31)                      Node( 61)                      Node( 91)

         time            h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp  
          1.0000      -98.07  0.2325   20.000        -83.53  0.2450   20.000        -65.71  0.2635   20.000        -48.97  0.2867   20.000
          2.0000     -102.79  0.2291   20.000        -87.73  0.2413   20.000        -69.97  0.2589   20.000        -52.07  0.2819   20.000
          3.0000     -106.50  0.2265   20.000        -91.51  0.2379   20.000        -73.15  0.2554   20.000        -53.79  0.2793   20.000
          4.0000     -112.03  0.2226   20.000        -95.15  0.2347   20.000        -75.69  0.2527   20.000        -54.97  0.2775   20.000
          5.0000      -76.81  0.2515   20.000        -87.84  0.2412   20.000        -77.20  0.2511   20.000        -55.85  0.2764   20.000
          6.0000      -91.37  0.2380   20.000        -84.86  0.2439   20.000        -75.58  0.2528   20.000        -55.93  0.2763   20.000
          7.0000      -99.26  0.2317   20.000        -88.48  0.2406   20.000        -75.35  0.2531   20.000        -55.72  0.2766   20.000
          8.0000     -104.80  0.2277   20.000        -92.09  0.2374   20.000        -76.19  0.2522   20.000        -55.78  0.2765   20.000
          9.0000      -88.41  0.2407   20.000        -90.30  0.2390   20.000        -77.05  0.2512   20.000        -56.02  0.2762   20.000
         10.0000      -96.53  0.2336   20.000        -89.01  0.2402   20.000        -76.65  0.2517   20.000        -56.13  0.2760   20.000
         11.0000      -89.68  0.2396   20.000        -88.33  0.2408   20.000        -76.44  0.2519   20.000        -56.06  0.2761   20.000
         12.0000      -98.69  0.2321   20.000        -89.39  0.2399   20.000        -76.24  0.2521   20.000        -55.98  0.2762   20.000
         13.0000     -104.73  0.2277   20.000        -92.53  0.2370   20.000        -76.80  0.2515   20.000        -56.03  0.2762   20.000
         14.0000      -79.26  0.2489   20.000        -87.07  0.2418   20.000        -77.17  0.2511   20.000        -56.19  0.2760   20.000
         15.0000      -91.49  0.2379   20.000        -84.79  0.2439   20.000        -75.44  0.2530   20.000        -56.01  0.2762   20.000
         16.0000      -99.41  0.2316   20.000        -88.46  0.2407   20.000        -75.20  0.2533   20.000        -55.69  0.2766   20.000
         17.0000     -106.10  0.2268   20.000        -92.35  0.2372   20.000        -76.15  0.2522   20.000        -55.75  0.2765   20.000
         18.0000     -110.41  0.2236   20.000        -95.80  0.2342   20.000        -77.51  0.2507   20.000        -56.07  0.2761   20.000
         19.0000     -113.50  0.2214   20.000        -98.46  0.2322   20.000        -78.86  0.2493   20.000        -56.48  0.2756   20.000
         20.0000      -76.88  0.2514   20.000        -89.79  0.2395   20.000        -79.50  0.2486   20.000        -56.86  0.2751   20.000
         21.0000      -83.98  0.2446   20.000        -82.95  0.2456   20.000        -76.69  0.2516   20.000        -56.67  0.2753   20.000
         22.0000      -95.94  0.2341   20.000        -86.03  0.2428   20.000        -75.11  0.2534   20.000        -55.97  0.2763   20.000
