 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   5.11.2022    Time:   9:39:43
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.032     0.390       0.0   0.987E+02     1.000     0.100     1.000     1.000     1.000
    2      1.00     0.032     0.390       0.0   0.987E+02     1.000     0.095     1.000     1.000     1.000
    3      2.00     0.032     0.390       0.0   0.987E+02     1.000     0.090     1.000     1.000     1.000
    4      3.00     0.032     0.390       0.0   0.987E+02     1.000     0.085     1.000     1.000     1.000
    5      4.00     0.032     0.390       0.0   0.987E+02     1.000     0.080     1.000     1.000     1.000
    6      5.00     0.032     0.390       0.0   0.987E+02     1.000     0.075     1.000     1.000     1.000
    7      6.00     0.032     0.390       0.0   0.987E+02     1.000     0.070     1.000     1.000     1.000
    8      7.00     0.032     0.390       0.0   0.987E+02     1.000     0.065     1.000     1.000     1.000
    9      8.00     0.032     0.390       0.0   0.987E+02     1.000     0.060     1.000     1.000     1.000
   10      9.00     0.032     0.390       0.0   0.987E+02     1.000     0.055     1.000     1.000     1.000
   11     10.00     0.032     0.390       0.0   0.987E+02     1.000     0.050     1.000     1.000     1.000
   12     11.00     0.032     0.390       0.0   0.987E+02     1.000     0.045     1.000     1.000     1.000
   13     12.00     0.032     0.390       0.0   0.987E+02     1.000     0.040     1.000     1.000     1.000
   14     13.00     0.032     0.390       0.0   0.987E+02     1.000     0.035     1.000     1.000     1.000
   15     14.00     0.032     0.390       0.0   0.987E+02     1.000     0.030     1.000     1.000     1.000
   16     15.00     0.032     0.390       0.0   0.987E+02     1.000     0.025     1.000     1.000     1.000
   17     16.00     0.032     0.390       0.0   0.987E+02     1.000     0.020     1.000     1.000     1.000
   18     17.00     0.032     0.390       0.0   0.987E+02     1.000     0.015     1.000     1.000     1.000
   19     18.00     0.032     0.390       0.0   0.987E+02     1.000     0.010     1.000     1.000     1.000
   20     19.00     0.032     0.390       0.0   0.987E+02     1.000     0.005     1.000     1.000     1.000
   21     20.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   22     21.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   23     22.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   24     23.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   25     24.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   26     25.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   27     26.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   28     27.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   29     28.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
