 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   5.11.2022    Time:   9:39:43
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

       22  0.1000000E+01  0.19550E+00    2       45    -4     2     T
       25  0.2000000E+01  0.37500E+00    2       51    -4     2     T
       27  0.3000000E+01  0.50000E+00    2       55    -4     2     T
       29  0.4000000E+01  0.50000E+00    2       59    -4     2     T
       51  0.5000000E+01  0.19550E+00    3      105    -4     2     T
       55  0.6000000E+01  0.25000E+00    2      115    -4     2     T
       57  0.7000000E+01  0.50000E+00    2      119    -4     2     T
       59  0.8000000E+01  0.50000E+00    2      123    -4     2     T
       81  0.9000000E+01  0.19550E+00    2      167    -4     2     T
      103  0.1000000E+02  0.19550E+00    2      211    -4     2     T
      125  0.1100000E+02  0.19550E+00    2      255    -4     2     T
      128  0.1200000E+02  0.37500E+00    2      261    -4     2     T
      130  0.1300000E+02  0.50000E+00    2      265    -4     2     T
      152  0.1400000E+02  0.19550E+00    2      310    -4     2     T
      174  0.1500000E+02  0.19550E+00    2      354    -4     2     T
      177  0.1600000E+02  0.37500E+00    2      360    -4     2     T
      179  0.1700000E+02  0.50000E+00    2      364    -4     2     T
      181  0.1800000E+02  0.50000E+00    2      368    -4     2     T
      182  0.1900000E+02  0.10000E+01    2      370    -4     2     T
      204  0.2000000E+02  0.19550E+00    3      417    -4     2     T
      226  0.2100000E+02  0.19550E+00    2      461    -4     2     T
      229  0.2200000E+02  0.37500E+00    2      467    -4     2     T
      251  0.2300000E+02  0.19550E+00    2      511    -4     2     T
      273  0.2400000E+02  0.19550E+00    3      561    -4     2     T
      295  0.2500000E+02  0.19550E+00    2      605    -4     2     T
      317  0.2600000E+02  0.19550E+00    2      649    -4     2     T
      320  0.2700000E+02  0.37500E+00    2      655    -4     2     T
      322  0.2800000E+02  0.50000E+00    2      661    -4     2     T
      324  0.2900000E+02  0.50000E+00    2      665    -4     2     T
      325  0.3000000E+02  0.10000E+01    2      667    -4     2     T
      326  0.3100000E+02  0.10000E+01    2      669    -4     2     T
      327  0.3200000E+02  0.10000E+01    2      671    -4     2     T
      349  0.3300000E+02  0.19550E+00    2      715    -4     2     T
      352  0.3400000E+02  0.37500E+00    2      721    -4     2     T
      354  0.3500000E+02  0.50000E+00    2      725    -4     2     T
      376  0.3600000E+02  0.19550E+00    2      769    -4     2     T
      379  0.3700000E+02  0.37500E+00    2      775    -4     2     T
      401  0.3800000E+02  0.19550E+00    3      821    -4     2     T
      423  0.3900000E+02  0.19550E+00    2      865    -4     2     T
      445  0.4000000E+02  0.19550E+00    2      909    -4     2     T
      448  0.4100000E+02  0.37500E+00    2      916    -4     2     T
      470  0.4200000E+02  0.19550E+00    2      960    -4     2     T
      473  0.4300000E+02  0.37500E+00    2      966    -4     2     T
      495  0.4400000E+02  0.19550E+00    2     1010    -4     2     T
      498  0.4500000E+02  0.37500E+00    2     1016    -4     2     T
      520  0.4600000E+02  0.19550E+00    2     1060    -4     2     T
      542  0.4700000E+02  0.19550E+00    2     1104    -4     2     T
      564  0.4800000E+02  0.19550E+00    2     1148    -4     2     T
      567  0.4900000E+02  0.37500E+00    2     1154    -4     2     T
      589  0.5000000E+02  0.19550E+00    2     1198    -4     2     T
      593  0.5100000E+02  0.25000E+00    2     1208    -4     2     T
      615  0.5200000E+02  0.19550E+00    2     1252    -4     2     T
      637  0.5300000E+02  0.19550E+00    2     1296    -4     2     T
      640  0.5400000E+02  0.37500E+00    2     1302    -4     2     T
      642  0.5500000E+02  0.50000E+00    2     1306    -4     2     T
      644  0.5600000E+02  0.50000E+00    2     1310    -4     2     T
      645  0.5700000E+02  0.10000E+01    2     1312    -4     2     T
      667  0.5800000E+02  0.19550E+00    2     1356    -4     2     T
      670  0.5900000E+02  0.37500E+00    2     1362    -4     2     T
      672  0.6000000E+02  0.50000E+00    2     1366    -4     2     T
      674  0.6100000E+02  0.50000E+00    2     1370    -4     2     T
      696  0.6200000E+02  0.19550E+00    2     1414    -4     2     T
      718  0.6300000E+02  0.19550E+00    3     1462    -4     2     T
      740  0.6400000E+02  0.19550E+00    4     1513    -4     2     T
      762  0.6500000E+02  0.19550E+00    2     1557    -4     2     T
      765  0.6600000E+02  0.37500E+00    2     1563    -4     2     T
      767  0.6700000E+02  0.50000E+00    2     1567    -4     2     T
      769  0.6800000E+02  0.50000E+00    2     1571    -4     2     T
      770  0.6900000E+02  0.10000E+01    2     1573    -4     2     T
      771  0.7000000E+02  0.10000E+01    2     1575    -4     2     T
      772  0.7100000E+02  0.10000E+01    3     1578    -4     2     T
      773  0.7200000E+02  0.10000E+01    3     1581    -4     2     T
      774  0.7300000E+02  0.10000E+01    4     1585    -4     2     T
      798  0.7400000E+02  0.12446E+00    3     1650    -4     2     T
      820  0.7500000E+02  0.19550E+00    2     1694    -4     2     T
      823  0.7600000E+02  0.37500E+00    2     1700    -4     2     T
      825  0.7700000E+02  0.50000E+00    2     1704    -4     2     T
      827  0.7800000E+02  0.50000E+00    2     1708    -4     2     T
      828  0.7900000E+02  0.10000E+01    4     1712    -4     2     T
      829  0.8000000E+02  0.10000E+01    4     1716    -4     2     T
      852  0.8100000E+02  0.14300E+00    3     1775    -4     2     T
      878  0.8200000E+02  0.10077E+00    3     1848    -4     2     T
      900  0.8300000E+02  0.19550E+00    2     1893    -4     2     T
      903  0.8400000E+02  0.37500E+00    2     1899    -4     2     T
      905  0.8500000E+02  0.50000E+00    2     1903    -4     2     T
      907  0.8600000E+02  0.50000E+00    2     1907    -4     2     T
      908  0.8700000E+02  0.10000E+01    2     1909    -4     2     T
      909  0.8800000E+02  0.10000E+01    3     1912    -4     2     T
      910  0.8900000E+02  0.10000E+01    4     1916    -4     2     T
      911  0.9000000E+02  0.10000E+01    5     1921    -4     2     T
      912  0.9100000E+02  0.10000E+01    5     1926    -4     2     T
      913  0.9200000E+02  0.10000E+01    4     1930    -4     2     T
      914  0.9300000E+02  0.10000E+01    8     1938    -4     2     T
      916  0.9400000E+02  0.50000E+00    6     1949    -4     2     T
      964  0.9500000E+02  0.70936E-01    3     2126    -4    -2     T
      986  0.9600000E+02  0.19550E+00    3     2172    -4    -2     T
      990  0.9700000E+02  0.25000E+00    2     2185    -4    -2     T
     1012  0.9800000E+02  0.19550E+00    3     2237    -4     2     T
     1034  0.9900000E+02  0.19550E+00    2     2281    -4     2     T
     1056  0.1000000E+03  0.19550E+00    2     2325    -4     2     T
     1060  0.1010000E+03  0.25000E+00    2     2335    -4     2     T
     1082  0.1020000E+03  0.19550E+00    2     2379    -4     2     T
     1104  0.1030000E+03  0.19550E+00    2     2423    -4     2     T
     1126  0.1040000E+03  0.19550E+00    2     2468    -4     2     T
     1148  0.1050000E+03  0.19550E+00    2     2512    -4     2     T
     1151  0.1060000E+03  0.37500E+00    2     2518    -4     2     T
     1153  0.1070000E+03  0.50000E+00    3     2524    -4     2     T
     1175  0.1080000E+03  0.19550E+00    2     2569    -4     2     T
     1197  0.1090000E+03  0.19550E+00    2     2613    -4     2     T
     1200  0.1100000E+03  0.37500E+00    2     2621    -4     2     T
     1202  0.1110000E+03  0.50000E+00    3     2627    -4     2     T
     1204  0.1120000E+03  0.50000E+00    3     2633    -4     2     T
     1205  0.1130000E+03  0.10000E+01    2     2635    -4     2     T
     1206  0.1140000E+03  0.10000E+01    6     2641    -4     2     T
     1207  0.1150000E+03  0.10000E+01   15     2656    -4     2     T
     1218  0.1160000E+03  0.11035E+00    6     2739     4    -2     T
     1253  0.1170000E+03  0.84953E-01    3     2859    -4    -2     T
     1258  0.1180000E+03  0.26786E+00    2     2872    -4    -2     T
     1281  0.1190000E+03  0.14822E+00    3     2932    -4    -2     T
     1286  0.1200000E+03  0.20000E+00    2     2946    -4    -2     T
     1289  0.1210000E+03  0.33333E+00    4     2955    -4    -2     T
     1312  0.1220000E+03  0.14300E+00    3     3011    -4    -2     T
     1338  0.1230000E+03  0.10077E+00    3     3084    -4    -2     T
     1344  0.1240000E+03  0.19048E+00    2     3102    -4    -2     T
     1347  0.1250000E+03  0.33333E+00    2     3108    -4    -2     T
     1349  0.1260000E+03  0.50000E+00    5     3117    -4    -2     T
     1372  0.1270000E+03  0.17425E+00    3     3177    -4    -2     T
     1394  0.1280000E+03  0.19550E+00    2     3221    -4    -2     T
     1416  0.1290000E+03  0.19550E+00    2     3265    -4    -2     T
     1438  0.1300000E+03  0.19550E+00    2     3309    -4    -2     T
     1460  0.1310000E+03  0.19550E+00    3     3355    -4    -2     T
     1482  0.1320000E+03  0.19550E+00    2     3399    -4    -2     T
     1504  0.1330000E+03  0.19550E+00    3     3445    -4    -2     T
     1526  0.1340000E+03  0.19550E+00    2     3489    -4     2     T
     1529  0.1350000E+03  0.37500E+00    2     3495    -4     2     T
     1551  0.1360000E+03  0.19550E+00    3     3545    -4     2     T
     1555  0.1370000E+03  0.25000E+00    3     3560    -4     2     T
     1558  0.1380000E+03  0.33333E+00    3     3573    -4     2     T
     1560  0.1390000E+03  0.50000E+00    3     3579    -4     2     T
     1562  0.1400000E+03  0.50000E+00    4     3586    -4     2     T
     1564  0.1410000E+03  0.50000E+00    6     3596    -4     2     T
     1569  0.1420000E+03  0.11111E+00    4     3644    -4     2     T
     1584  0.1430000E+03  0.73178E-01    2     3732     4     2     T
     1591  0.1440000E+03  0.13672E+00    3     3770     4     2     T
     1596  0.1450000E+03  0.26250E+00    2     3782     4     2     T
     1650  0.1460000E+03  0.65083E-01    3     4008    -4     2     T
     1689  0.1470000E+03  0.50613E-01    3     4142    -4    -2     T
     1712  0.1480000E+03  0.14300E+00    2     4197    -4     2     T
     1734  0.1490000E+03  0.19550E+00    3     4243    -4     2     T
     1756  0.1500000E+03  0.19550E+00    2     4287    -4     2     T
     1778  0.1510000E+03  0.19550E+00    2     4331    -4     2     T
     1781  0.1520000E+03  0.37500E+00    2     4338    -4     2     T
     1783  0.1530000E+03  0.50000E+00    3     4344    -4     2     T
     1785  0.1540000E+03  0.50000E+00    3     4350    -4     2     T
     1808  0.1550000E+03  0.14300E+00    3     4406    -4     2     T
     1812  0.1560000E+03  0.25000E+00    2     4417    -4     2     T
     1814  0.1570000E+03  0.50000E+00    5     4426    -4     2     T
     1817  0.1580000E+03  0.25000E+00    8     4450    -4     2     T
     1831  0.1590000E+03  0.25108E+00    3     4532     4     2     T
     1834  0.1600000E+03  0.53333E+00    5     4542     4     2     T
     1837  0.1610000E+03  0.33333E+00    3     4552     4     2     T
     1839  0.1620000E+03  0.50000E+00    4     4559     4    -2     T
     1841  0.1630000E+03  0.50000E+00    4     4565     4    -2     T
     1843  0.1640000E+03  0.50000E+00    4     4571     4    -2     T
     1877  0.1650000E+03  0.94897E-01    5     4694    -4    -2     T
