 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   5.11.2022    Time:   9:39:43
 Units: L = cm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       1.0000  0.00000E+00  0.00000E+00  0.14645E-06  0.00000E+00 -0.69794E+00  0.00000E+00  0.00000E+00  0.54207E-07  0.00000E+00 -0.14439E+01 -0.10716E+03 -0.98505E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42818E+02  0.00000E+00  0.15779E-06     22  0.00000E+00      0.000
       2.0000  0.57744E-02  0.88025E-02  0.57746E-02  0.88025E-02 -0.42538E+00  0.57744E-02  0.88025E-02  0.56643E-02  0.88025E-02 -0.19395E+01 -0.11232E+03 -0.10324E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.42310E+02  0.00000E+00  0.56644E-02     25  0.00000E+00      0.000
       3.0000  0.00000E+00  0.00000E+00 -0.11746E-06  0.00000E+00 -0.30871E+00  0.57744E-02  0.88025E-02  0.58842E-02  0.88025E-02 -0.22734E+01 -0.11572E+03 -0.10692E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41972E+02  0.00000E+00  0.58844E-02     27  0.00000E+00      0.000
       4.0000  0.18079E-01  0.42803E-01  0.18079E-01  0.42803E-01 -0.23892E+00  0.23853E-01  0.51606E-01  0.22893E-01  0.51606E-01 -0.25279E+01 -0.12306E+03 -0.11260E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41678E+02  0.10000E-01  0.32893E-01     29  0.00000E+00      0.000
       5.0000 -0.85000E+00  0.00000E+00 -0.85000E+00  0.00000E+00 -0.18989E+00 -0.82615E+00  0.51606E-01 -0.82711E+00  0.51606E-01 -0.27373E+01 -0.69194E+02 -0.76624E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42318E+02  0.86000E+00  0.32893E-01     51  0.00000E+00      0.000
       6.0000  0.00000E+00  0.00000E+00 -0.21467E-06  0.00000E+00 -0.17432E+00 -0.82615E+00  0.51606E-01 -0.82711E+00  0.51606E-01 -0.29144E+01 -0.98914E+02 -0.92070E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42141E+02  0.86000E+00  0.32893E-01     55  0.00000E+00      0.000
       7.0000  0.00000E+00  0.00000E+00 -0.42771E-06  0.00000E+00 -0.18250E+00 -0.82615E+00  0.51606E-01 -0.82711E+00  0.51606E-01 -0.30949E+01 -0.10771E+03 -0.99818E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.41960E+02  0.86000E+00  0.32893E-01     57  0.00000E+00      0.000
       8.0000  0.00000E+00  0.00000E+00  0.51456E-07  0.00000E+00 -0.18330E+00 -0.82615E+00  0.51606E-01 -0.82711E+00  0.51606E-01 -0.32788E+01 -0.11355E+03 -0.10529E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41777E+02  0.86000E+00  0.32893E-01     59  0.00000E+00      0.000
